Aldgate                       ;Southgate                     ;13
Aldgate                       ;St. James's Park              ;5
Aldgate                       ;St. John's Wood               ;33
Aldgate                       ;St. Paul's                    ;16
Aldgate                       ;Stanmore                      ;105
Aldgate                       ;Stonebridge Park              ;32
Aldgate                       ;Stratford                     ;64
Aldgate                       ;Swiss Cottage                 ;10
Aldgate                       ;Temple                        ;31
Aldgate                       ;Tooting Broadway              ;11
Aldgate                       ;Tottenham Court Road          ;29
Aldgate                       ;Tower Hill                    ;60
Aldgate                       ;Tufnell Park                  ;19
Aldgate                       ;Turnpike Lane                 ;61
Aldgate                       ;Uxbridge                      ;40
Aldgate                       ;Victoria                      ;148
Aldgate                       ;Wanstead                      ;17
Aldgate                       ;Waterloo                      ;46
Aldgate                       ;Wembley Park                  ;195
Aldgate                       ;West Hampstead                ;51
Aldgate                       ;West Harrow                   ;51
Aldgate                       ;Westbourne Park               ;46
Aldgate                       ;Westminster                   ;21
Aldgate                       ;Willesden Green               ;20
Aldgate                       ;Wood Green                    ;40
Aldgate East                  ;Acton Town                    ;16
Aldgate East                  ;Angel                         ;95
Aldgate East                  ;Archway                       ;8
Aldgate East                  ;Arnos Grove                   ;38
Aldgate East                  ;Baker Street                  ;283
Aldgate East                  ;Balham                        ;61
Aldgate East                  ;Bank / Monument               ;273
Aldgate East                  ;Barbican                      ;195
Aldgate East                  ;Barking                       ;285
Aldgate East                  ;Barkingside                   ;22
Aldgate East                  ;Barons Court                  ;21
Aldgate East                  ;Becontree                     ;338
Aldgate East                  ;Belsize Park                  ;6
Aldgate East                  ;Bethnal Green                 ;145
Aldgate East                  ;Blackfriars                   ;269
Aldgate East                  ;Bond Street                   ;92
Aldgate East                  ;Borough                       ;15
Aldgate East                  ;Bounds Green                  ;74
Aldgate East                  ;Bow Road                      ;128
Aldgate East                  ;Bromley-by-Bow                ;128
Aldgate East                  ;Burnt Oak                     ;29
Aldgate East                  ;Caledonian Road               ;10
Aldgate East                  ;Camden Town                   ;192
Aldgate East                  ;Canada Water                  ;156
Aldgate East                  ;Canning Town                  ;11
Aldgate East                  ;Cannon Street                 ;227
Aldgate East                  ;Charing Cross                 ;20
Aldgate East                  ;Chiswick Park                 ;87
Aldgate East                  ;Clapham Common                ;126
Aldgate East                  ;Clapham South                 ;1
Aldgate East                  ;Cockfosters                   ;32
Aldgate East                  ;Covent Garden                 ;74
Aldgate East                  ;Dagenham East                 ;4
Aldgate East                  ;Dagenham Heathway             ;656
Aldgate East                  ;Debden                        ;14
Aldgate East                  ;Dollis Hill                   ;6
Aldgate East                  ;Ealing Broadway               ;36
Aldgate East                  ;Ealing Common                 ;15
Aldgate East                  ;Earl's Court                  ;84
Aldgate East                  ;East Finchley                 ;0
Aldgate East                  ;East Ham                      ;595
Aldgate East                  ;East Putney                   ;3
Aldgate East                  ;Edgware Road (Cir)            ;138
Aldgate East                  ;Elephant & Castle             ;235
Aldgate East                  ;Elm Park                      ;545
Aldgate East                  ;Embankment                    ;320
Aldgate East                  ;Epping                        ;5
Aldgate East                  ;Euston                        ;16
Aldgate East                  ;Euston Square                 ;246
Aldgate East                  ;Farringdon                    ;307
Aldgate East                  ;Finchley Road                 ;10
Aldgate East                  ;Finsbury Park                 ;52
Aldgate East                  ;Fulham Broadway               ;5
Aldgate East                  ;Gloucester Road               ;186
Aldgate East                  ;Goodge Street                 ;17
Aldgate East                  ;Great Portland Street         ;170
Aldgate East                  ;Green Park                    ;92
Aldgate East                  ;Gunnersbury                   ;2
Aldgate East                  ;Hainault                      ;28
Aldgate East                  ;Hammersmith (Dis)             ;42
Aldgate East                  ;Hammersmith (H&C)             ;5
Aldgate East                  ;Hatton Cross                  ;5
Aldgate East                  ;Heathrow Terminal 4           ;16
Aldgate East                  ;Highbury & Islington          ;67
Aldgate East                  ;Highgate                      ;4
Aldgate East                  ;Holborn                       ;116
Aldgate East                  ;Holland Park                  ;1
Aldgate East                  ;Holloway Road                 ;24
Aldgate East                  ;Hounslow East                 ;53
Aldgate East                  ;Kensington (Olympia)          ;21
Aldgate East                  ;Kentish Town                  ;8
Aldgate East                  ;Kew Gardens                   ;10
Aldgate East                  ;Kilburn                       ;61
Aldgate East                  ;King's Cross St. Pancras      ;753
Aldgate East                  ;Knightsbridge                 ;45
Aldgate East                  ;Ladbroke Grove                ;39
Aldgate East                  ;Lambeth North                 ;16
Aldgate East                  ;Latimer Road                  ;26
Aldgate East                  ;Leicester Square              ;61
Aldgate East                  ;Leyton                        ;93
Aldgate East                  ;Leytonstone                   ;156
Aldgate East                  ;Liverpool Street              ;461
Aldgate East                  ;London Bridge                 ;119
Aldgate East                  ;Maida Vale                    ;17
Aldgate East                  ;Mansion House                 ;95
Aldgate East                  ;Marylebone                    ;8
Aldgate East                  ;Mile End                      ;29
Aldgate East                  ;Moorgate                      ;372
Aldgate East                  ;Morden                        ;45
Aldgate East                  ;North Greenwich               ;253
Aldgate East                  ;Notting Hill Gate             ;21
Aldgate East                  ;Oakwood                       ;30
Aldgate East                  ;Oval                          ;32
Aldgate East                  ;Oxford Circus                 ;208
Aldgate East                  ;Paddington                    ;706
Aldgate East                  ;Parsons Green                 ;86
Aldgate East                  ;Piccadilly Circus             ;109
Aldgate East                  ;Plaistow                      ;29
Aldgate East                  ;Putney Bridge                 ;12
Aldgate East                  ;Queen's Park                  ;7
Aldgate East                  ;Queensbury                    ;52
Aldgate East                  ;Richmond                      ;20
Aldgate East                  ;Royal Oak                     ;8
Aldgate East                  ;Seven Sisters                 ;46
Aldgate East                  ;Shepherd's Bush (Cen)         ;5
Aldgate East                  ;Shepherd's Bush Market        ;47
Aldgate East                  ;Sloane Square                 ;184
Aldgate East                  ;Snaresbrook                   ;154
Aldgate East                  ;South Ealing                  ;33
Aldgate East                  ;South Kensington              ;281
Aldgate East                  ;South Woodford                ;10
Aldgate East                  ;Southgate                     ;8
Aldgate East                  ;St. James's Park              ;186
Aldgate East                  ;Stamford Brook                ;16
Aldgate East                  ;Stepney Green                 ;67
Aldgate East                  ;Stonebridge Park              ;10
Aldgate East                  ;Stratford                     ;147
Aldgate East                  ;Sudbury Town                  ;17
Aldgate East                  ;Temple                        ;315
Aldgate East                  ;Tooting Bec                   ;9
Aldgate East                  ;Tooting Broadway              ;55
Aldgate East                  ;Tottenham Court Road          ;236
Aldgate East                  ;Totteridge & Whetstone        ;42
Aldgate East                  ;Tower Hill                    ;178
